
rm -rf ./cmake/*

04-21 14:40:43.665 352642 352642 [I] watch_file: wd: 1, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:43.666 352642 352642 [I] watch_file: wd: 1, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:43.667 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:43.668 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:43.669 352642 352642 [I] watch_file: wd: 1, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:43.670 352642 352642 [I] watch_file: 
04-21 14:40:48.712 352642 352642 [I] watch_file: read length: 448
04-21 14:40:48.716 352642 352642 [I] watch_file: wd: 1, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:48.717 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:48.719 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:48.720 352642 352642 [I] watch_file: wd: 1, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:48.721 352642 352642 [I] watch_file: wd: 1, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:48.722 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:48.723 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:48.724 352642 352642 [I] watch_file: wd: 1, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:48.725 352642 352642 [I] watch_file: 
04-21 14:40:53.761 352642 352642 [I] watch_file: read length: 448
04-21 14:40:53.765 352642 352642 [I] watch_file: wd: 1, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:53.767 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:53.768 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:53.769 352642 352642 [I] watch_file: wd: 1, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: AB
04-21 14:40:53.770 352642 352642 [I] watch_file: wd: 1, mask: 0x40000020(IN_OPEN | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:53.771 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:53.771 352642 352642 [I] watch_file: wd: 1, mask: 0x40000001(IN_ACCESS | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:53.772 352642 352642 [I] watch_file: wd: 1, mask: 0x40000010(IN_CLOSE_NOWRITE | IN_ISDIR), cookie: 0, len: 16, name: cmake
04-21 14:40:53.773 352642 352642 [I] watch_file: 
